Names,Likes,Dislikes,Ratio,Difference
Dramastar,51711,163386,0.32,0
Rice Gum,118423,11687,10.13,1
Tisha Paytas,27168,65327,0.42,1
Jaclyn Hill,150091,167487,0.90,7
Tana Mongeau,115229,407023,0.28,11
Logan Paul,1753458,2519227,0.70,12
Fine Brother Entertainment,563,1007,0.56,15
James Charles,274421,236651,1.16,34
Tmartin,2700,2460,1.10,78
Pokimane,230765,209835,1.10,93
Jake Paul,311989,136986,2.28,102
Pewdiepie,1040007,77635,13.40,210
Filip Miucin,3880,5678,0.68,256
Filip Miucin 2nd Video,1458,2994,0.49,258
Tana Mongeau 2nd Vid,41624,114731,0.36,1306
Jenna Marbles,4097,194,21.12,3105
